procurementMethodType,values,default
aboveThreshold,false,false
competitiveordering,false,false
aboveThresholdEU,true,true
aboveThresholdUA.defense,true,true
aboveThresholdUA,true,true
belowThreshold,"true,false",true
closeFrameworkAgreementSelectionUA,true,true
closeFrameworkAgreementUA,true,true
competitiveDialogueEU,true,true
competitiveDialogueEU.stage2,true,true
competitiveDialogueUA,true,true
competitiveDialogueUA.stage2,true,true
esco,true,true
negotiation,true,true
negotiation.quick,true,true
priceQuotation,true,true
reporting,true,true
simple.defense,true,true
