rule,value
$.procuringEntity.name,Приховано
$.procuringEntity.name_en,Hidden
$.procuringEntity.name_ru,Приховано
$.procuringEntity.identifier.id,Приховано
$.procuringEntity.identifier.legalName,Приховано
$.procuringEntity.identifier.legalName_en,Hidden
$.procuringEntity.identifier.legalName_ru,Приховано
$.procuringEntity.address.streetAddress,Приховано
$.procuringEntity.address.locality,Приховано
$.procuringEntity.address.region,Приховано
$.procuringEntity.address.postalCode,Приховано
$.procuringEntity.address.countryName,Приховано
$.procuringEntity.address.countryName_en,Hidden
$.procuringEntity.address.countryName_ru,Приховано
$.procuringEntity.contactPoint.telephone,Приховано
$.procuringEntity.contactPoint.url,Приховано
$.procuringEntity.contactPoint.name,Приховано
$.items[*].quantity,0.0
$.items[*].deliveryDate.startDate,1111-11-11T00:00:00+02:00
$.items[*].deliveryDate.endDate,1111-11-11T00:00:00+02:00
$.items[*].deliveryAddress.streetAddress,Приховано
$.items[*].deliveryAddress.locality,Приховано
$.items[*].deliveryAddress.region,Приховано
$.items[*].deliveryAddress.postalCode,Приховано
$.items[*].deliveryAddress.countryName,Приховано
$.items[*].deliveryAddress.countryName_en,Hidden
$.items[*].deliveryAddress.countryName_ru,Приховано
$.items[*].deliveryLocation.latitude,0.0
$.items[*].deliveryLocation.longitude,0.0
$.suppliers[*].name,Приховано
$.suppliers[*].name_en,Hidden
$.suppliers[*].name_ru,Приховано
$.suppliers[*].identifier.id,Приховано
$.suppliers[*].identifier.legalName,Приховано
$.suppliers[*].identifier.legalName_en,Hidden
$.suppliers[*].identifier.legalName_ru,Приховано
$.suppliers[*].address.streetAddress,Приховано
$.suppliers[*].address.locality,Приховано
$.suppliers[*].address.region,Приховано
$.suppliers[*].address.postalCode,Приховано
$.suppliers[*].address.countryName,Приховано
$.suppliers[*].address.countryName_en,Hidden
$.suppliers[*].address.countryName_ru,Приховано
$.suppliers[*].contactPoint.telephone,Приховано
$.suppliers[*].contactPoint.url,Приховано
$.suppliers[*].contactPoint.name,Приховано
$.value.amount,0.0
$.value.amountNet,0.0
$..documents[*].documentType,Приховано
$..documents[*].title,Приховано
$..documents[*].url,Приховано
