procurementMethodType,values,default
aboveThreshold,false,false
competitiveOrdering,false / true,false
competitiveOrdering.short,false / true,false
competitiveOrdering.long,false / true,false
aboveThresholdEU,false,false
aboveThresholdUA.defense,false,false
aboveThresholdUA,false,false
belowThreshold,false,false
closeFrameworkAgreementSelectionUA,false,false
closeFrameworkAgreementUA,false,false
competitiveDialogueEU,false,false
competitiveDialogueEU.stage2,false,false
competitiveDialogueUA,false,false
competitiveDialogueUA.stage2,false,false
esco,false,false
negotiation,false,false
negotiation.quick,false,false
priceQuotation,true / false,false
reporting,false,false
simple.defense,false,false
requestForProposal,true / false,false
